C:\SVN\TC\Simplex\non-dita\Datasheets\Misc_Devices_Kits\S4081-0003\S4081-0003.docx,End of line resistor harnesses for Class B wiring supervision,Miscellaneous Devices and Spare Parts Kits  4081 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4090-0001\S4090-0001.docx,IDNet or MAPNET II Supervised IAM  , IDNet/MAPNET II Addressable Input/Output Devices    4090-9001  4090-9051
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0002\S4090-0002.docx,IDNet Relay IAM  for use with 4100ES  4010ES  4100U  4008  and 4010 IDNet communications , IDNet Addressable Input/Output Devices and Beam Detectors  4090-9002
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4090-0003\S4090-0003.docx,IDNet or MAPNET II Zone Adapter Modules  , IDNet/MAPNET II Addressable Input/Output Devices    4090-9101 4090 -9106
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0004\S4090-0004.docx,4090-9121 Security Monitor IAM (Individual Addressable Module), IDNet Addressable Input/Output Devices and Beam Detectors  4090-9121
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0005\S4090-0005.docx,4090-9116 Addressable IDNet Isolator for 4007ES  4008  4010ES  4100ES  and 4100U Series Fire Alarm Controls, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9116
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0006\S4090-0006.docx,4090-9117 Addressable Power Isolator for 4100ES  4100U and 4010ES Series Fire Alarm Controls, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9117
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0007\S4090-0007.docx,4090-9118 Relay IAM (Individual Addressable Module) with T-Sense Input, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9118
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0008\S4090-0008.docx,4090-9119 Relay IAM (Individual Addressable Module) with Unsupervised Input, IDNet Addressable Input/Output Devices and Beam Detectors  4090-9119
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0009\S4090-0009.docx,4090-9120 Six Point Module with Four T-Sense Inputs and Two Relay Outputs , IDNet Addressable Input/Output Devices and Beam Detectors  4090-9120
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0010\S4090-0010.docx,IDNet Addressable Devices  Model 4090-9007 Signal IAM (Individual Addressable Module), IDNet Addressable Input/Output Devices and Beam Detectors  4090-9007
C:\SVN\TC\Simplex\non-dita\Datasheets\Device_Compatibility\S4090-0011\S4090-0011.docx,IDNet and MAPNET II Addressable Devices Device Communications Compatibility Chart  , Addressable Device Compatibility Reference  Addressable Devices  Multiple Series
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4090-0012\S4090-0012.docx,MX Technology Addressable Devices - IAMs  Monitor ZAMs  and Line Isolator, International Products - MX Technology Addressable Devices  4090-5201  4090-5202  4090-5203  4090-5204  4090-5205  4090-5206  4081-9020  4081-9021  4081-9022
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4090-0014\S4090-0014.docx,Model 4090-9008 Dual Contact Relay IAM , IDNet/MAPNET II Addressable Input/Output Devices    4090-9008  4090-9813  4090-9801  4090-9802
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4090-0015\S4090-0015.docx,Model 4090-9010  8 A Relay IAM  , IDNet Addressable Input/Output Devices and Beam Detectors  4090-9010
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4090-0016\S4090-0016.docx,MX Technology Addressable Devices  Model 4090-5250 Loop Powered Multiple I/O Module with Three Inputs and Two Outputs, International Products - MX Technology Addressable Devices  4090-5250
C:\SVN\TC\Simplex\non-dita\Datasheets\Heat_Detectors\S4098-0007\S4098-0007.docx,Electronic Heat Detectors  direct connect models  135F (57C) or 200F (93C)  available with or without rate-of-rise operation   , Heat Detectors     4098-9401  4098-9402  4098-9403  & 4098-9404
C:\SVN\TC\Simplex\non-dita\Datasheets\Heat_Detectors\S4098-0014\S4098-0014.docx,Electronic Heat Detectors for two-wire and four-wire bases  135F (57C) or 200F (93C)  available with or without rate-of-rise operation   , Heat Detectors     4098-9612  4098-9613  4098-9614  & 4098-9615
